Marca temporal,¿Cuál es tu rol principal en la Facultad de Ingeniería?,¿En qué jornada pasas la mayor parte de tu tiempo en la universidad?,"Cuando eres la última persona en salir de un salón de clases o laboratorio, ¿con qué frecuencia apagas manualmente las luces?","Si utilizas los computadores de la universidad (ej. laboratorios), ¿con qué frecuencia los apagas o suspendes al terminar tu sesión?","En una escala del 1 al 5, ¿qué tan importante consideras que es la eficiencia energética y la sostenibilidad para nuestra universidad?",¿Conoces algún protocolo oficial o campaña actual de la universidad sobre el ahorro de energía en los salones?,"Durante tu tiempo en el edificio, ¿has notado salones vacíos con las luces encendidas, o luces artificiales prendidas a pesar de haber suficiente luz natural (ej. un día soleado al mediodía)?"
23/02/2026 15:00:43,Estudiante,Mañana (6:00 a.m. - 12:00 p.m.),Casi siempre,Solo cierro mi sesión / los dejo bloqueados,3,"No, no conozco ninguna campaña o protocolo.","Sí, lo he notado ocasionalmente."
23/02/2026 15:34:34,Estudiante,Noche (6:00 p.m. - 10:00 p.m.),Ocasionalmente (A veces se me olvida),Solo cierro mi sesión / los dejo bloqueados,4,"No, no conozco ninguna campaña o protocolo.","Sí, lo noto frecuentemente (casi todos los días)."
23/02/2026 18:04:41,Estudiante,Tarde (12:00 p.m. - 6:00 p.m.),Nunca asumo esa responsabilidad,Siempre los apago completamente,4,"Sí lo conozco, pero casi no lo aplico.","Sí, lo noto frecuentemente (casi todos los días)."
24/02/2026 10:22:10,Estudiante,Noche (6:00 p.m. - 10:00 p.m.),Casi siempre,Siempre los apago completamente,4,"No, no conozco ninguna campaña o protocolo.","Sí, lo noto frecuentemente (casi todos los días)."
24/02/2026 12:01:19,Estudiante,Noche (6:00 p.m. - 10:00 p.m.),Ocasionalmente (A veces se me olvida),Los dejo encendidos tal como los encontré,5,"No, no conozco ninguna campaña o protocolo.","Sí, lo he notado ocasionalmente."
24/02/2026 17:35:13,Estudiante,Mañana (6:00 a.m. - 12:00 p.m.),Casi nunca,No utilizo los computadores de la universidad,4,"Sí lo conozco, pero casi no lo aplico.","Sí, lo noto frecuentemente (casi todos los días)."
25/02/2026 14:20:08,Profesor(a),Mañana (6:00 a.m. - 12:00 p.m.),Casi siempre,Solo cierro mi sesión / los dejo bloqueados,5,"No, no conozco ninguna campaña o protocolo.","Sí, lo noto frecuentemente (casi todos los días)."
25/02/2026 15:20:38,Estudiante,Mañana (6:00 a.m. - 12:00 p.m.),Ocasionalmente (A veces se me olvida),Solo cierro mi sesión / los dejo bloqueados,5,"No, no conozco ninguna campaña o protocolo.","Sí, lo noto frecuentemente (casi todos los días)."
25/02/2026 15:52:35,Estudiante,Tarde (12:00 p.m. - 6:00 p.m.),Ocasionalmente (A veces se me olvida),Solo cierro mi sesión / los dejo bloqueados,5,"No, no conozco ninguna campaña o protocolo.","Sí, lo noto frecuentemente (casi todos los días)."
25/02/2026 18:41:27,Estudiante,Noche (6:00 p.m. - 10:00 p.m.),Ocasionalmente (A veces se me olvida),Los dejo encendidos tal como los encontré,5,"No, no conozco ninguna campaña o protocolo.","Sí, lo noto frecuentemente (casi todos los días)."
26/02/2026 09:57:08,Profesor(a),Noche (6:00 p.m. - 10:00 p.m.),Ocasionalmente (A veces se me olvida),Los dejo encendidos tal como los encontré,5,"No, no conozco ninguna campaña o protocolo.","Sí, lo noto frecuentemente (casi todos los días)."
26/02/2026 10:43:54,Estudiante,Mañana (6:00 a.m. - 12:00 p.m.),Ocasionalmente (A veces se me olvida),Los dejo encendidos tal como los encontré,4,"No, no conozco ninguna campaña o protocolo.","Sí, lo noto frecuentemente (casi todos los días)."
26/02/2026 16:02:36,Profesor(a),Tarde (12:00 p.m. - 6:00 p.m.),Siempre,Los dejo encendidos tal como los encontré,4,"No, no conozco ninguna campaña o protocolo.","Sí, lo he notado ocasionalmente."
26/02/2026 16:39:20,Estudiante,Tarde (12:00 p.m. - 6:00 p.m.),Casi nunca,Solo cierro mi sesión / los dejo bloqueados,5,"No, no conozco ninguna campaña o protocolo.","No, casi nunca veo que eso suceda."
26/02/2026 19:06:43,Estudiante,Mañana (6:00 a.m. - 12:00 p.m.),Casi siempre,Siempre los apago completamente,4,"No, no conozco ninguna campaña o protocolo.","Sí, lo noto frecuentemente (casi todos los días)."
26/02/2026 19:44:40,Estudiante,Mañana (6:00 a.m. - 12:00 p.m.),Casi siempre,Siempre los apago completamente,2,"No, no conozco ninguna campaña o protocolo.","Sí, lo noto frecuentemente (casi todos los días)."
27/02/2026 08:11:57,Estudiante,Mañana (6:00 a.m. - 12:00 p.m.),Siempre,Los dejo encendidos tal como los encontré,5,"No, no conozco ninguna campaña o protocolo.","Sí, lo he notado ocasionalmente."
27/02/2026 08:24:06,Estudiante,Noche (6:00 p.m. - 10:00 p.m.),Ocasionalmente (A veces se me olvida),Solo cierro mi sesión / los dejo bloqueados,4,"No, no conozco ninguna campaña o protocolo.","Sí, lo noto frecuentemente (casi todos los días)."
27/02/2026 09:23:43,Estudiante,Mañana (6:00 a.m. - 12:00 p.m.),Ocasionalmente (A veces se me olvida),Siempre los apago completamente,5,"No, no conozco ninguna campaña o protocolo.","Sí, lo noto frecuentemente (casi todos los días)."
27/02/2026 09:25:43,Estudiante,Tarde (12:00 p.m. - 6:00 p.m.),Siempre,Siempre los apago completamente,5,"No, no conozco ninguna campaña o protocolo.","Sí, lo noto frecuentemente (casi todos los días)."
27/02/2026 15:46:34,Estudiante,Tarde (12:00 p.m. - 6:00 p.m.),Ocasionalmente (A veces se me olvida),Solo cierro mi sesión / los dejo bloqueados,5,"No, no conozco ninguna campaña o protocolo.","Sí, lo noto frecuentemente (casi todos los días)."
02/03/2026 08:35:49,Estudiante,Mañana (6:00 a.m. - 12:00 p.m.),Casi siempre,Siempre los apago completamente,4,"No, no conozco ninguna campaña o protocolo.","No, casi nunca veo que eso suceda."
02/03/2026 13:01:59,Personal Administrativo,Noche (6:00 p.m. - 10:00 p.m.),Ocasionalmente (A veces se me olvida),Siempre los apago completamente,1,"No, no conozco ninguna campaña o protocolo.","Sí, lo he notado ocasionalmente."
02/03/2026 17:03:53,Estudiante,Noche (6:00 p.m. - 10:00 p.m.),Casi siempre,Solo cierro mi sesión / los dejo bloqueados,5,"No, no conozco ninguna campaña o protocolo.","Sí, lo he notado ocasionalmente."
02/03/2026 19:24:48,Estudiante,Mañana (6:00 a.m. - 12:00 p.m.),Ocasionalmente (A veces se me olvida),Solo cierro mi sesión / los dejo bloqueados,4,"No, no conozco ninguna campaña o protocolo.","Sí, lo noto frecuentemente (casi todos los días)."
03/03/2026 09:03:24,Profesor(a),Tarde (12:00 p.m. - 6:00 p.m.),Ocasionalmente (A veces se me olvida),Solo cierro mi sesión / los dejo bloqueados,5,"No, no conozco ninguna campaña o protocolo.","Sí, lo noto frecuentemente (casi todos los días)."
03/03/2026 11:28:14,Estudiante,Mañana (6:00 a.m. - 12:00 p.m.),Nunca asumo esa responsabilidad,Siempre los apago completamente,5,"Sí lo conozco, pero casi no lo aplico.","Sí, lo noto frecuentemente (casi todos los días)."
03/03/2026 15:13:22,Estudiante,Mañana (6:00 a.m. - 12:00 p.m.),Casi siempre,Los dejo encendidos tal como los encontré,5,"No, no conozco ninguna campaña o protocolo.","Sí, lo noto frecuentemente (casi todos los días)."
03/03/2026 16:07:11,Estudiante,Mañana (6:00 a.m. - 12:00 p.m.),Casi siempre,Siempre los apago completamente,4,"Sí, lo conozco y lo aplico.","Sí, lo noto frecuentemente (casi todos los días)."
03/03/2026 17:40:27,Estudiante,Tarde (12:00 p.m. - 6:00 p.m.),Casi siempre,Solo cierro mi sesión / los dejo bloqueados,4,"No, no conozco ninguna campaña o protocolo.","Sí, lo he notado ocasionalmente."
04/03/2026 09:46:52,Personal Administrativo,Tarde (12:00 p.m. - 6:00 p.m.),Nunca asumo esa responsabilidad,Los dejo encendidos tal como los encontré,5,"No, no conozco ninguna campaña o protocolo.","Sí, lo he notado ocasionalmente."
04/03/2026 11:01:05,Profesor(a),Mañana (6:00 a.m. - 12:00 p.m.),Casi nunca,Solo cierro mi sesión / los dejo bloqueados,4,"No, no conozco ninguna campaña o protocolo.","Sí, lo noto frecuentemente (casi todos los días)."
04/03/2026 15:02:21,Estudiante,Mañana (6:00 a.m. - 12:00 p.m.),Casi siempre,Los dejo encendidos tal como los encontré,4,"No, no conozco ninguna campaña o protocolo.","No, casi nunca veo que eso suceda."
04/03/2026 15:10:50,Profesor(a),Noche (6:00 p.m. - 10:00 p.m.),Ocasionalmente (A veces se me olvida),Solo cierro mi sesión / los dejo bloqueados,5,"Sí, lo conozco y lo aplico.","Sí, lo he notado ocasionalmente."
04/03/2026 17:24:59,Profesor(a),Mañana (6:00 a.m. - 12:00 p.m.),Casi nunca,Solo cierro mi sesión / los dejo bloqueados,5,"Sí, lo conozco y lo aplico.","Sí, lo noto frecuentemente (casi todos los días)."
