minuto,hora_decimal,hora_hhmm,luminosidad
0,0.0,00:00,0.01
1,0.0167,00:01,0.01
2,0.0333,00:02,0.01
3,0.05,00:03,0.01
4,0.0667,00:04,0.01
5,0.0833,00:05,0.01
6,0.1,00:06,0.01
7,0.1167,00:07,0.01
8,0.1333,00:08,0.01
9,0.15,00:09,0.01
10,0.1667,00:10,0.01
11,0.1833,00:11,0.01
12,0.2,00:12,0.01
13,0.2167,00:13,0.01
14,0.2333,00:14,0.01
15,0.25,00:15,0.01
16,0.2667,00:16,0.01
17,0.2833,00:17,0.01
18,0.3,00:18,0.01
19,0.3167,00:19,0.01
20,0.3333,00:20,0.01
21,0.35,00:21,0.01
22,0.3667,00:22,0.01
23,0.3833,00:23,0.01
24,0.4,00:24,0.01
25,0.4167,00:25,0.01
26,0.4333,00:26,0.01
27,0.45,00:27,0.01
28,0.4667,00:28,0.01
29,0.4833,00:29,0.01
30,0.5,00:30,0.01
31,0.5167,00:31,0.01
32,0.5333,00:32,0.01
33,0.55,00:33,0.01
34,0.5667,00:34,0.01
35,0.5833,00:35,0.01
36,0.6,00:36,0.01
37,0.6167,00:37,0.01
38,0.6333,00:38,0.01
39,0.65,00:39,0.01
40,0.6667,00:40,0.01
41,0.6833,00:41,0.01
42,0.7,00:42,0.01
43,0.7167,00:43,0.01
44,0.7333,00:44,0.01
45,0.75,00:45,0.01
46,0.7667,00:46,0.01
47,0.7833,00:47,0.01
48,0.8,00:48,0.01
49,0.8167,00:49,0.01
50,0.8333,00:50,0.01
51,0.85,00:51,0.01
52,0.8667,00:52,0.01
53,0.8833,00:53,0.0101
54,0.9,00:54,0.0101
55,0.9167,00:55,0.0101
56,0.9333,00:56,0.0101
57,0.95,00:57,0.0101
58,0.9667,00:58,0.0101
59,0.9833,00:59,0.0101
60,1.0,01:00,0.0101
61,1.0167,01:01,0.0101
62,1.0333,01:02,0.0101
63,1.05,01:03,0.0101
64,1.0667,01:04,0.0101
65,1.0833,01:05,0.0101
66,1.1,01:06,0.0101
67,1.1167,01:07,0.0101
68,1.1333,01:08,0.0101
69,1.15,01:09,0.0101
70,1.1667,01:10,0.0101
71,1.1833,01:11,0.0101
72,1.2,01:12,0.0101
73,1.2167,01:13,0.0101
74,1.2333,01:14,0.0101
75,1.25,01:15,0.0101
76,1.2667,01:16,0.0101
77,1.2833,01:17,0.0101
78,1.3,01:18,0.0101
79,1.3167,01:19,0.0101
80,1.3333,01:20,0.0101
81,1.35,01:21,0.0101
82,1.3667,01:22,0.0101
83,1.3833,01:23,0.0101
84,1.4,01:24,0.0101
85,1.4167,01:25,0.0101
86,1.4333,01:26,0.0101
87,1.45,01:27,0.0101
88,1.4667,01:28,0.0101
89,1.4833,01:29,0.0101
90,1.5,01:30,0.0101
91,1.5167,01:31,0.0101
92,1.5333,01:32,0.0101
93,1.55,01:33,0.0101
94,1.5667,01:34,0.0101
95,1.5833,01:35,0.0101
96,1.6,01:36,0.0101
97,1.6167,01:37,0.0101
98,1.6333,01:38,0.0101
99,1.65,01:39,0.0102
100,1.6667,01:40,0.0102
101,1.6833,01:41,0.0102
102,1.7,01:42,0.0102
103,1.7167,01:43,0.0102
104,1.7333,01:44,0.0102
105,1.75,01:45,0.0102
106,1.7667,01:46,0.0102
107,1.7833,01:47,0.0102
108,1.8,01:48,0.0102
109,1.8167,01:49,0.0102
110,1.8333,01:50,0.0102
111,1.85,01:51,0.0102
112,1.8667,01:52,0.0102
113,1.8833,01:53,0.0102
114,1.9,01:54,0.0102
115,1.9167,01:55,0.0102
116,1.9333,01:56,0.0102
117,1.95,01:57,0.0102
118,1.9667,01:58,0.0102
119,1.9833,01:59,0.0102
120,2.0,02:00,0.0102
