PC_ID,Consumo_Base_Wh,Consumo_Opt_Wh,Ahorro_Wh
PC_1,2666.67,288.0,2378.67
PC_2,2683.33,760.0,1923.33
PC_3,2708.33,2548.0,160.33
PC_4,2650.0,240.0,2410.0
PC_5,2720.83,1092.0,1628.83
PC_6,2704.17,232.0,2472.17
PC_7,2708.33,448.0,2260.33
PC_8,2645.83,560.0,2085.83
PC_9,2754.17,1496.0,1258.17
PC_10,2733.33,296.0,2437.33
PC_11,2691.67,564.0,2127.67
PC_12,2712.5,288.0,2424.5
PC_13,2675.0,612.0,2063.0
PC_14,2712.5,2384.0,328.5
PC_15,2654.17,740.0,1914.17
PC_16,2670.83,1456.0,1214.83
PC_17,2633.33,884.0,1749.33
PC_18,2679.17,312.0,2367.17
PC_19,2662.5,1192.0,1470.5
PC_20,2675.0,420.0,2255.0
